tick,plants,herbivores,carnivores,total
405,2500,0,0,2500
406,2500,0,0,2500
407,2500,0,0,2500
408,2500,0,0,2500
409,2500,0,0,2500
410,2500,0,0,2500
411,2500,0,0,2500
412,2500,0,0,2500
413,2500,0,0,2500
414,2500,0,0,2500
415,2500,0,0,2500
416,2500,0,0,2500
417,2500,0,0,2500
418,2500,0,0,2500
419,2500,0,0,2500
420,2500,0,0,2500
421,2500,0,0,2500
422,2500,0,0,2500
423,2500,0,0,2500
424,2500,0,0,2500
425,2500,0,0,2500
426,2500,0,0,2500
427,2500,0,0,2500
428,2500,0,0,2500
429,2500,0,0,2500
430,2500,0,0,2500
431,2500,0,0,2500
432,2500,0,0,2500
433,2500,0,0,2500
434,2500,0,0,2500
435,2500,0,0,2500
436,2500,0,0,2500
437,2500,0,0,2500
438,2500,0,0,2500
439,2500,0,0,2500
440,2500,0,0,2500
441,2500,0,0,2500
442,2500,0,0,2500
443,2500,0,0,2500
444,2500,0,0,2500
445,2500,0,0,2500
446,2500,0,0,2500
447,2500,0,0,2500
448,2500,0,0,2500
449,2500,0,0,2500
450,2500,0,0,2500
451,2500,0,0,2500
452,2500,0,0,2500
453,2500,0,0,2500
454,2500,0,0,2500
455,2500,0,0,2500
456,2500,0,0,2500
457,2500,0,0,2500
458,2500,0,0,2500
459,2500,0,0,2500
460,2500,0,0,2500
461,2500,0,0,2500
462,2500,0,0,2500
463,2500,0,0,2500
464,2500,0,0,2500
465,2500,0,0,2500
466,2500,0,0,2500
467,2500,0,0,2500
468,2500,0,0,2500
469,2500,0,0,2500
470,2500,0,0,2500
471,2500,0,0,2500
472,2500,0,0,2500
473,2500,0,0,2500
474,2500,0,0,2500
475,2500,0,0,2500
476,2500,0,0,2500
477,2500,0,0,2500
478,2500,0,0,2500
479,2500,0,0,2500
480,2500,0,0,2500
481,2500,0,0,2500
482,2500,0,0,2500
483,2500,0,0,2500
484,2500,0,0,2500
485,2500,0,0,2500
486,2500,0,0,2500
487,2500,0,0,2500
488,2500,0,0,2500
489,2500,0,0,2500
490,2500,0,0,2500
491,2500,0,0,2500
492,2500,0,0,2500
493,2500,0,0,2500
494,2500,0,0,2500
495,2500,0,0,2500
496,2500,0,0,2500
497,2500,0,0,2500
498,2500,0,0,2500
499,2500,0,0,2500
500,2500,0,0,2500
